• 1. Pittsford (Monroe County, Rochester Area)

• 2. Fayetteville-Manlius (Onondaga County, Syracuse Area)

• 3. Honeoye Falls-Lima (Monroe County, Rochester Area)

• 4. Brighton (Monroe County, Rochester Area)

• 5. Skaneateles (Onondaga County, Syracuse Area)

• 6. Williamsville (Erie County, Western New York)

• 7. Cazenovia (Madison County, Syracuse Area)

• 8. East Aurora (Erie County, Western New York)

• 9. Bethlehem (Albany County, Albany Area)

• 10. Clarence (Erie County, Western New York)

• 11. Niskayuna (Schenectady County, Albany Area)

• 12. Penfield (Monroe County, Rochester Area)

• 13. New Hartford (Oneida County, Utica-Rome Area)

• 14. Westhill (Onondaga County, Syracuse Area)

• 15. North Colonie (Albany County, Albany Area)

• 16. Voorheesville (Albany County, Albany Area)

• 17. Jamesville-DeWitt (Onondaga County, Syracuse Area)

• 18. Guilderland (Albany County, Albany Area)

• 19. West Irondequoit (Monroe County, Rochester Area)

• 20. Victor (Ontario County, Rochester Area)

• 21. Orchard Park (Erie County, Western New York)

• 22. Vestal (Broome County, Binghamton-Elmira Area)

• 23. Iroquois (Erie County, Western New York)

• 24. Bemus Point (Chautauqua County, Western New York)

• 25. Saratoga Springs (Saratoga County, Albany Area)

• 26. Lewiston-Porter (Niagara County, Western New York)

• 27. Fairport (Monroe County, Rochester Area)

• 28. Amherst (Erie County, Western New York)

• 29. East Greenbush (Rensselaer County, Albany Area)

• 30. Lancaster (Erie County, Western New York)

• 31. Marcellus (Onondaga County, Syracuse Area)

• 32. Hamburg (Erie County, Western New York)

• 33. Burnt Hills-Ballston Lake (Saratoga County, Albany Area)

• 34. Shenendehowa (Saratoga County, Albany Area)

• 35. Clinton (Oneida County, Utica-Rome Area)

• 36. Grand Island (Erie County, Western New York)

• 37. Lansing (Tompkins County, Syracuse Area)

• 38. Alfred-Almond (Allegany County, Western New York)

• 39. Maine-Endwell (Broome County, Binghamton-Elmira Area)

• 40. Fabius-Pompey (Onondaga County, Syracuse Area)

• 41. Webster (Monroe County, Rochester Area)

• 42. Geneseo (Livingston County, Rochester Area)

• 43. Potsdam (Saint Lawrence County, Watertown Area)

• 44. Akron (Erie County, Western New York)

• 45. Baldwinsville (Onondaga County, Syracuse Area)

• 46. Chazy (Clinton County, Plattsburgh Area)

• 47. Alden (Erie County, Western New York)

• 48. West Genesee (Onondaga County, Syracuse Area)

• 49. Avon (Livingston County, Rochester Area)

• 50. Canandaigua (Ontario County, Rochester Area)

• 51. Southwestern (Chautauqua County, Western New York)

• 52. Spencerport (Monroe County, Rochester Area)

• 53. Cambridge (Washington County, Albany Area)

• 54. South Colonie (Albany County, Albany Area)

• 55. Frontier (Erie County, Western New York)

• 56. Holland (Erie County, Western New York)

• 57. Barker (Niagara County, Western New York)

• 58. Starpoint (Niagara County, Western New York)

• 59. Caledonia-Mumford (Livingston County, Rochester Area)

• 60. Ithaca (Tompkins County, Syracuse Area)

• 61. Wayne (Wayne County, Rochester Area)

• 62. Greenwich (Washington County, Albany Area)

• 63. Owego-Apalachin (Tioga County, Binghamton-Elmira Area)

• 64. West Seneca (Erie County, Western New York)

• 65. Queensbury (Warren County, Albany Area)

• 66. Greene (Chenango County, Binghamton-Elmira Area)

• 67. Hilton (Monroe County, Rochester Area)

• 68. Tully (Onondaga County, Syracuse Area)

• 69. Whitesboro (Oneida County, Utica-Rome Area)

• 70. Lake George (Warren County, Albany Area)

• 71. Wilson (Niagara County, Western New York)

• 72. Schodack (Rensselaer County, Albany Area)

• 73. Beaver River (Lewis County, Watertown Area)

• 74. Weedsport (Cayuga County, Syracuse Area)

• 75. Canton (Saint Lawrence County, Watertown Area)

• 76. Chittenango (Madison County, Syracuse Area)

• 77. Rush-Henrietta (Monroe County, Rochester Area)

• 78. Churchville-Chili (Monroe County, Rochester Area)

• 79. Pembroke (Genesee County, Western New York)

• 80. Fredonia (Chautauqua County, Western New York)

• 81. Hamilton (Madison County, Syracuse Area)

• 82. Eden (Erie County, Western New York)

• 83. Thousand Islands (Jefferson County, Watertown Area)

• 84. Horseheads (Chemung County, Binghamton-Elmira Area)

• 85. Gananda (Wayne County, Rochester Area)

• 86. Town of Webb (Herkimer County, Utica-Rome Area)

• 87. Liverpool (Onondaga County, Syracuse Area)

• 88. Honeoye (Ontario County, Rochester Area)

• 89. Niagara-Wheatfield (Niagara County, Western New York)

• 90. Ballston Spa (Saratoga County, Albany Area)

• 91. Averill Park (Rensselaer County, Albany Area)

• 92. Bloomfield (Ontario County, Rochester Area)

• 93. Onondaga (Onondaga County, Syracuse Area)

• 94. General Brown (Jefferson County, Watertown Area)

• 95. Windsor (Broome County, Binghamton-Elmira Area)

• 96. Chenango Forks (Broome County, Binghamton-Elmira Area)

• 97. Naples (Ontario County, Rochester Area)

• 98. Lake Placid (Essex County, Plattsburgh Area)

• 99. Duanesburg (Schenectady County, Albany Area)

• 100. Springville-Griffith Institute (Erie County, Western New York)

• 101. Chautauqua Lake (Chautauqua County, Western New York)

• 102. North Collins (Erie County, Western New York)

• 103. Tioga (Tioga County, Binghamton-Elmira Area)

• 104. LeRoy (Genesee County, Western New York)

• 105. North Syracuse (Onondaga County, Syracuse Area)

• 106. Wheatland-Chili (Monroe County, Rochester Area)

• 107. Schalmont (Schenectady County, Albany Area)

• 108. Delaware Academy at Delhi (Delaware County, Binghamton-Elmira Area)

• 109. Westmoreland (Oneida County, Utica-Rome Area)

• 110. Ellicottville (Cattaraugus County, Western New York)

• 111. Allegany-Limestone (Cattaraugus County, Western New York)

• 112. Westfield (Chautauqua County, Western New York)

• 113. Sauquoit Valley (Oneida County, Utica-Rome Area)

• 114. Scotia-Glenville (Schenectady County, Albany Area)

• 115. Pavilion (Genesee County, Western New York)

• 116. Saranac Lake (Franklin County, Plattsburgh Area)

• 117. Depew (Erie County, Western New York)

• 118. Arkport (Steuben County, Rochester Area)

• 119. Fonda-Fultonville (Montgomery County, Albany Area)

• 120. Milford (Otsego County, Utica-Rome Area)

• 121. Colton-Pierrepont (Saint Lawrence County, Watertown Area)

• 122. Warrensburg (Warren County, Albany Area)

• 123. Marcus Whitman (Ontario County, Rochester Area)

• 124. Williamson (Wayne County, Rochester Area)

• 125. Oakfield-Alabama (Genesee County, Western New York)

• 126. Sherrill (Oneida County, Utica-Rome Area)

• 127. Schuylerville (Saratoga County, Albany Area)

• 128. New York Mills (Oneida County, Utica-Rome Area)

• 129. Salem (Washington County, Albany Area)

• 130. Cooperstown (Otsego County, Utica-Rome Area)

• 131. Sackets Harbor (Jefferson County, Watertown Area)

• 132. Glens Falls (Warren County, Albany Area)

• 133. Palmyra-Macedon (Wayne County, Rochester Area)

• 134. Brockport (Monroe County, Rochester Area)

• 135. Holland Patent (Oneida County, Utica-Rome Area)

• 136. Oneonta (Otsego County, Utica-Rome Area)

• 137. Gates Chili (Monroe County, Rochester Area)

• 138. North Warren (Warren County, Albany Area)

• 139. Manchester-Shortsville (Ontario County, Rochester Area)

• 140. Cuba-Rushford (Allegany County, Western New York)

• 141. Union-Endicott (Broome County, Binghamton-Elmira Area)

• 142. Sherman (Chautauqua County, Western New York)

• 143. Sweet Home (Erie County, Western New York)

• 144. Johnsburg (Warren County, Albany Area)

• 145. Windham-Ashland-Jewett (Greene County, Albany Area)

• 146. Union Springs (Cayuga County, Syracuse Area)

• 147. Canajoharie (Montgomery County, Albany Area)

• 148. South Glens Falls (Saratoga County, Albany Area)

